[besr_adm@rel14620cor001 root]$ source_control -l ALL
epg-ebm-processed                       epg_ebm_avro_7                240 sec        kafka     ACTIVE
gtpc:eeaprb101bkt:0                     gtpc_0                        1423 sec       pag       ACTIVE
gtpc:eeaprb101bkt:1                     gtpc_1                        1389 sec       pag       ACTIVE
gtpc:eeaprb101bkt:2                     gtpc_2                        1442 sec       pag       ACTIVE
gtpc:eeaprb101bkt:3                     gtpc_3                        1396 sec       pag       ACTIVE
gtpc:eeaprb101cro:0                     gtpc_4                        1439 sec       pag       ACTIVE
gtpc:eeaprb101cro:1                     gtpc_5                        1427 sec       pag       ACTIVE
gtpc:eeaprb101cro:2                     gtpc_6                        1431 sec       pag       ACTIVE
gtpc:eeaprb101cro:3                     gtpc_7                        1417 sec       pag       ACTIVE
gtpc:eeaprb101lds:0                     gtpc_0                        1424 sec       pag       ACTIVE
gtpc:eeaprb101lds:1                     gtpc_1                        1389 sec       pag       ACTIVE
gtpc:eeaprb101lds:2                     gtpc_2                        1442 sec       pag       ACTIVE
gtpc:eeaprb101lds:3                     gtpc_3                        1398 sec       pag       ACTIVE
gtpc:eeaprb101mfd:0                     gtpc_0                        1423 sec       pag       ACTIVE
gtpc:eeaprb101mfd:1                     gtpc_1                        1389 sec       pag       ACTIVE
gtpc:eeaprb101mfd:2                     gtpc_2                        1440 sec       pag       ACTIVE
gtpc:eeaprb101mfd:3                     gtpc_3                        1395 sec       pag       ACTIVE
gtpc:eeaprb101wvn:0                     gtpc_4                        1429 sec       pag       ACTIVE
gtpc:eeaprb101wvn:1                     gtpc_5                        1418 sec       pag       ACTIVE
gtpc:eeaprb101wvn:2                     gtpc_6                        1427 sec       pag       ACTIVE
gtpc:eeaprb101wvn:3                     gtpc_7                        1415 sec       pag       ACTIVE
gtpc:eeaprb102ltn:0                     gtpc_4                        1430 sec       pag       ACTIVE
gtpc:eeaprb102ltn:1                     gtpc_5                        1419 sec       pag       ACTIVE
gtpc:eeaprb102ltn:2                     gtpc_6                        1428 sec       pag       ACTIVE
gtpc:eeaprb102ltn:3                     gtpc_7                        1416 sec       pag       ACTIVE
huawei_enodeb:rel14620ran001-bsr2:0     generic_ctr_avro_7            1233 sec       pag       ACTIVE
huawei_enodeb:rel14620ran001-bsr2:1     generic_ctr_avro_0            1352 sec       pag       ACTIVE
huawei_enodeb:rel14620ran001-bsr2:2     generic_ctr_avro_1            1439 sec       pag       ACTIVE
huawei_enodeb:rel14620ran001-bsr2:3     generic_ctr_avro_2            1548 sec       pag       ACTIVE
huawei_enodeb:rel14620ran001-bsr2:4     generic_ctr_avro_3            1443 sec       pag       ACTIVE
huawei_enodeb:rel14620ran001-bsr2:5     generic_ctr_avro_4            1319 sec       pag       ACTIVE
huawei_enodeb:rel14620ran002-bsr2:0     generic_ctr_avro_5            1292 sec       pag       ACTIVE
huawei_enodeb:rel14620ran002-bsr2:1     generic_ctr_avro_6            1430 sec       pag       ACTIVE
huawei_enodeb:rel14620ran002-bsr2:2     generic_ctr_avro_7            1221 sec       pag       ACTIVE
huawei_enodeb:rel14620ran002-bsr2:3     generic_ctr_avro_0            1345 sec       pag       ACTIVE
huawei_enodeb:rel14620ran002-bsr2:4     generic_ctr_avro_1            1438 sec       pag       ACTIVE
huawei_enodeb:rel14620ran002-bsr2:5     generic_ctr_avro_2            1546 sec       pag       ACTIVE
huawei_enodeb:rel14620ran002-bsr2:6     generic_ctr_avro_3            1456 sec       pag       ACTIVE
huawei_enodeb:rel14620ran003-bsr2:0     generic_ctr_avro_4            1324 sec       pag       ACTIVE
huawei_enodeb:rel14620ran003-bsr2:1     generic_ctr_avro_5            1299 sec       pag       ACTIVE
huawei_enodeb:rel14620ran003-bsr2:2     generic_ctr_avro_6            1433 sec       pag       ACTIVE
huawei_enodeb:rel14620ran003-bsr2:3     generic_ctr_avro_7            1224 sec       pag       ACTIVE
huawei_enodeb:rel14620ran003-bsr2:4     generic_ctr_avro_0            1335 sec       pag       ACTIVE
huawei_enodeb:rel14620ran003-bsr2:5     generic_ctr_avro_1            1429 sec       pag       ACTIVE
huawei_enodeb:rel14620ran004-bsr2:0     generic_ctr_avro_2            1543 sec       pag       ACTIVE
huawei_enodeb:rel14620ran004-bsr2:1     generic_ctr_avro_3            1453 sec       pag       ACTIVE
